NDC Description,NDC,Effective_Date,OTC,Pricing_Unit,Classification_for_Rate_Setting,Corresponding_Generic_Drug_Effective_Date,Explanation_Code,NADAC_Per_Unit,Corresponding_Generic_Drug_NADAC_Per_Unit
12-HR DECONGEST 120 MG CAPLET,36800005460,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.32559,
12-HR DECONGEST 120 MG CAPLET,36800005460,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.31813,
12-HR DECONGEST 120 MG CAPLET,36800005460,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.31003,
12-HR DECONGEST 120 MG CAPLET,36800005460,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.29881,
12-HR DECONGEST 120 MG CAPLET,36800005460,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.31094,
12-HR DECONGEST 120 MG CAPLET,36800005460,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.32046,
12-HR DECONGEST 120 MG CAPLET,36800005460,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.30108,
12-HR DECONGEST 120 MG CAPLET,36800005460,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.29429,
12HR NASAL DECONGEST ER 120 MG,24385005452,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.30594,
12HR NASAL DECONGEST ER 120 MG,24385005452,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.32259,
12HR NASAL DECONGEST ER 120 MG,24385005452,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.32559,
12HR NASAL DECONGEST ER 120 MG,24385005452,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.31813,
12HR NASAL DECONGEST ER 120 MG,24385005452,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.31003,
12HR NASAL DECONGEST ER 120 MG,24385005452,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.29881,
12HR NASAL DECONGEST ER 120 MG,24385005452,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.31094,
12HR NASAL DECONGEST ER 120 MG,24385005452,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.32046,
12HR NASAL DECONGEST ER 120 MG,24385005452,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.30108,
12HR NASAL DECONGEST ER 120 MG,24385005452,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.29429,
12HR NASAL DECONGEST ER 120 MG,70000016401,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.30594,
12HR NASAL DECONGEST ER 120 MG,70000016401,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.32259,
12HR NASAL DECONGEST ER 120 MG,70000016401,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.32559,
12HR NASAL DECONGEST ER 120 MG,70000016401,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.31813,
12HR NASAL DECONGEST ER 120 MG,70000047501,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.30594,
12HR NASAL DECONGEST ER 120 MG,70000047501,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.32259,
12HR NASAL DECONGEST ER 120 MG,70000047501,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.32559,
12HR NASAL DECONGEST ER 120 MG,70000047501,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.31813,
12HR NASAL DECONGEST ER 120 MG,70000047501,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.31003,
12HR NASAL DECONGEST ER 120 MG,70000047501,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.29881,
12HR NASAL DECONGEST ER 120 MG,70000047501,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.31094,
12HR NASAL DECONGEST ER 120 MG,70000047501,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.32046,
12HR NASAL DECONGEST ER 120 MG,70000047501,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.30108,
12HR NASAL DECONGEST ER 120 MG,70000047501,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.29429,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.06197,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.05801,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.05887,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.06184,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.06093,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.05963,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.06248,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.05988,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.06238,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006271,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.06115,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.06197,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.05801,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.05887,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.06184,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.06093,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.05963,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.06248,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.05988,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.06238,
8 HOUR ACETAMINOPHEN ER 650 MG,46122006278,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.06115,
ABSORICA 30 MG CAPSULE,10631011731,04/01/2020 12:00:00 AM,N,EA,B,,1,36.56971,
ABSORICA 30 MG CAPSULE,10631011731,04/01/2020 12:00:00 AM,N,EA,B,,4,36.56971,
ABSORICA 30 MG CAPSULE,10631011731,07/01/2020 12:00:00 AM,N,EA,B,,1,36.60507,
ABSORICA 30 MG CAPSULE,10631011731,07/01/2020 12:00:00 AM,N,EA,B,,2,36.60507,
ABSORICA 30 MG CAPSULE,10631011731,07/01/2020 12:00:00 AM,N,EA,B,,4,36.60507,
ABSORICA 30 MG CAPSULE,10631011769,04/01/2020 12:00:00 AM,N,EA,B,,1,36.56971,
ABSORICA 30 MG CAPSULE,10631011769,04/01/2020 12:00:00 AM,N,EA,B,,4,36.56971,
ABSORICA 30 MG CAPSULE,10631011769,07/01/2020 12:00:00 AM,N,EA,B,,1,36.60507,
ABSORICA 30 MG CAPSULE,10631011769,07/01/2020 12:00:00 AM,N,EA,B,,2,36.60507,
ABSORICA 30 MG CAPSULE,10631011769,07/01/2020 12:00:00 AM,N,EA,B,,4,36.60507,
ABSORICA 40 MG CAPSULE,10631011831,01/01/2020 12:00:00 AM,N,EA,B,,1,36.74240,
ABSORICA 40 MG CAPSULE,10631011831,01/01/2020 12:00:00 AM,N,EA,B,,4,36.74240,
ABSORICA 40 MG CAPSULE,10631011831,04/01/2020 12:00:00 AM,N,EA,B,,1,36.53700,
ABSORICA 40 MG CAPSULE,10631011831,04/01/2020 12:00:00 AM,N,EA,B,,4,36.53700,
ABSORICA 40 MG CAPSULE,10631011869,01/01/2020 12:00:00 AM,N,EA,B,,1,36.74240,
ABSORICA 40 MG CAPSULE,10631011869,01/01/2020 12:00:00 AM,N,EA,B,,4,36.74240,
ABSORICA 40 MG CAPSULE,10631011869,04/01/2020 12:00:00 AM,N,EA,B,,1,36.53700,
ABSORICA 40 MG CAPSULE,10631011869,04/01/2020 12:00:00 AM,N,EA,B,,4,36.53700,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.29494,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.28590,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.29034,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.30047,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.29481,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.33259,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.35476,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.33261,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.32219,
ACETAMINOPHEN 120 MG SUPPOS,45802073200,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.30550,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.29494,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.28590,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.29034,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.30047,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.29481,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.33259,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.35476,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.33261,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.32219,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.30550,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.29494,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.28590,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.29034,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.30047,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.29481,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.33259,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.35476,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.33261,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.32219,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.30550,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,01/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01236,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,02/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01898,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,03/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01749,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,04/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01733,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,05/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01549,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,06/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01485,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,07/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01274,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,08/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01391,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,09/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01887,
ACETAMINOPHEN 160 MG/5 ML LIQ,58657052016,10/01/2020 12:00:00 AM,Y,ML,G,,"1, 5",0.01011,
ACETAMINOPHEN 325 MG GELCAP,46122043078,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG GELCAP,46122043078,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG GELCAP,46122043078,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG GELCAP,46122043078,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG GELCAP,46122043078,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG GELCAP,46122043078,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG GELCAP,46122043078,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG GELCAP,46122043078,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG GELCAP,46122043078,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG GELCAP,46122043078,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,00536116401,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,00536116401,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,00536116401,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,00536116401,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,00536116401,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,00536116401,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,00536116401,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,00536116401,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG TABLET,00536116401,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG TABLET,00536116401,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,00904671950,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,00904671950,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,00904671950,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,00904671950,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,00904671950,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,00904671950,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,00904671950,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,00904671950,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG TABLET,00904671950,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG TABLET,00904671950,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,00904671960,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,00904671960,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,00904671960,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,00904671960,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,00904671960,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,00904671960,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,00904671960,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,00904671960,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG TABLET,00904671960,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG TABLET,00904671960,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,00904671980,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,00904671980,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,00904671980,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,00904671980,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,00904671980,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,00904671980,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,00904671980,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,00904671980,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG TABLET,00904671980,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG TABLET,00904671980,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,00904677361,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,00904677361,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,00904677361,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,00904677361,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,00904677361,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,00904677361,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,00904677361,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,00904677361,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG TABLET,00904677361,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG TABLET,00904677361,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,49483034001,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,49483034001,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,49483034001,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,49483034001,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,49483034001,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,49483034001,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,49483034001,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,49483034001,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG TABLET,49483034001,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG TABLET,49483034001,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,49483034010,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,49483034010,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,49483034010,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,49483034010,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,49483034010,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,49483034010,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,49483034010,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,49483034010,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG TABLET,49483034010,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG TABLET,49483034010,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,51645070301,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,51645070301,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,51645070301,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,51645070301,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,51645070301,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,51645070301,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,51645070301,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,51645070301,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
ACETAMINOPHEN 325 MG TABLET,51645070301,09/01/2020 12:00:00 AM,Y,EA,G,,1,0.02033,
ACETAMINOPHEN 325 MG TABLET,51645070301,10/01/2020 12:00:00 AM,Y,EA,G,,1,0.01720,
ACETAMINOPHEN 325 MG TABLET,51645070310,01/01/2020 12:00:00 AM,Y,EA,G,,1,0.01830,
ACETAMINOPHEN 325 MG TABLET,51645070310,02/01/2020 12:00:00 AM,Y,EA,G,,1,0.01740,
ACETAMINOPHEN 325 MG TABLET,51645070310,03/01/2020 12:00:00 AM,Y,EA,G,,1,0.01912,
ACETAMINOPHEN 325 MG TABLET,51645070310,04/01/2020 12:00:00 AM,Y,EA,G,,1,0.01687,
ACETAMINOPHEN 325 MG TABLET,51645070310,05/01/2020 12:00:00 AM,Y,EA,G,,1,0.02081,
ACETAMINOPHEN 325 MG TABLET,51645070310,06/01/2020 12:00:00 AM,Y,EA,G,,1,0.02026,
ACETAMINOPHEN 325 MG TABLET,51645070310,07/01/2020 12:00:00 AM,Y,EA,G,,1,0.01623,
ACETAMINOPHEN 325 MG TABLET,51645070310,08/01/2020 12:00:00 AM,Y,EA,G,,1,0.01822,
